tweet,irony
I love having money to spend,no
"We would love to make someone's Christmas extra special by winning our competition,so fingers x we hit 8000 followers this week!",no
I fall in love with you every single day.,no
I just love how Disney Pixar always puts hidden characters from an old or an upcoing movie in every movie. Does that make sense?,no
I love you because you understand me. You know how I feel even when I can't say it.,no
I love you but you aren't worth the fight anymore..,no
"Life ends when you stop dreaming, hope ends when you stop believing and love ends when you stop caring.",no
I'm good at falling in love with people I can't have.,no
Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.,yes
Everything I love is either ruined me or watched as I ruined it instead.,yes
"I love the sun, moon, stars and you",no
"""Is it possible to love someone so much, that it makes you question how you ever existed without them?""",yes
Love notes left in coffee pots cuz he knows what I need most mornings,no
"we all have that one ex that we'll always have love for and if you don't already, trust me you will.",no
"Love your parents. We're so busy growing up, we often forget they're growing old.",no
I'm blessed to be the love of your life.,no
omg i love how bigbang keeps disturbing seungri and wishing him happy birthday HAHAHAHA,no
"I love eating so much, but I hate getting fat.",yes
i love sleeping to avoid problems,yes
"Love guys that are picky, don't need to hit up every girl that comes their way.",no
his outfit is ssoo cute I love my king of fashion,no
"Fall in love with someone who brings up a smile on your face, not a tear in your cheek.",yes
"you're hurting me, yet i still love you",no
"If God is the DJ, then Life is the dance floor; Love is the rhythm, & You are the music -unknown",no
"Dear God , Thank you for waking me up this morning I'm so blessed to be alive and I'm so happy that I'm alive I love you , thank you",no
i'm so in love with you and i hope you know,no
You don't give up on someone you love.,no
"People love others not for who they are, but for how they make them feel.",yes
"Lord, thank You for waking me up today. I am healthy. I am blessed. I love You. Amen. ????",no
"Love doesn't need to be perfect, it just needs to be true.",no
"Love is a verb. Without action, it is merely a word.",no
Don’t waste your life trying to impress other people. Do what you love and love what you do.,no
"If you find a girl that is willing to go through hell just to keep the relationship going, you really shouldn't take her love for granted.",no
Gravitation isn't responsible for people falling in love. - Albert Einstein,no
You are sooooooo pretty! I'm in love again and again,no
"Girls are sensitive, they over think every little thing and they care way more than they should, but that's what makes their love so strong.",no
In my dark times only my mother can love me for me.,no
The love be so fake but I'm still good.,no
im extremely comfortable with being alone. i love my alone time and my space. it’s healthy to enjoy your own company,no
"If you are so scared of digital banking, then, don't keep cash / bank accounts. Enjoy barter trade.",no
enjoy life TODAY.... YESTERDAY is gone.... & TOMORROW may never COME!!!!!!,yes
What people fail to realise is that Indian dramas has no logic. So stop finding logic but rather enjoy the emotional ride.,no
Enjoy the good moments. Stay positive in the bad. Know that everything will be alright.,no
"Enjoy your life, make your dreams come true.",no
"""Enjoy the little things in life, for you’ll one day look back and realize they were the big things.""",no
They were actually not going to stay for another day but they did coz they want some free time to enjoy and relax,yes
"When you're happy you enjoy the music. But, when you're sad, you understand the lyrics.",yes
life goal: being financially secure with a career I enjoy.,no
Don't be a shadow in someone else's world..you can create your own life and STILL enjoy the company and growth from another,yes
A date can be $10.. The point of a date is to enjoy each others company. Y'all so materialistic and want something to post for social media,no
"""You can't trust N girls who enjoy canola's music unironically"" -Amanda Luther King Jr",no
"Just enjoy Christmas together as a family, you don't need to get matching pajamas.",no
I enjoy you too much,yes
"If we text and snapchat at the same time, I enjoy talking to you",yes
try to enjoy everything before it's gone,yes
Enjoy the cool side of the pillow tomorrow kids...and teachers. Back roads are too much a mess.,no
"Everyday someone's gotta ask ""why is twitter free?"" Can you not just shut up and enjoy this app in financial peace ?",no
at end of the day i enjoy my life so a couldnt give a fuck what folk think about me,yes
"As the wind blows through my hair, I close my eyes and enjoy the moment",no
I love being alone. it's so important to enjoy your own company,no
"God forbid, I exude confidence and enjoy sex",yes
